Instituicao;cod_ibge;UF;Populacao;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Avaï¿½ - SP;3504305;SP;5467;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;45749943,24
Prefeitura Municipal de Atibaia - SP;3504107;SP;145378;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1020275552,15
Prefeitura Municipal de Sï¿½o Vicente - SP;3551009;SP;370839;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1607109368,48
Prefeitura Municipal de Tietï¿½ - SP;3554508;SP;42946;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;237535629,23
Prefeitura Municipal de Areiï¿½polis - SP;3503604;SP;11186;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;52486238,59
Prefeitura Municipal de Itaï¿½ - SP;3521804;SP;27632;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;191169562,85
Prefeitura Municipal de Quadra - SP;3541653;SP;3902;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37724877,32
Prefeitura Municipal de Cerqueira Cï¿½sar - SP;3511409;SP;20391;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;128994944,43
Prefeitura Municipal de Timburi - SP;3554607;SP;2647;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33750208,89
Prefeitura Municipal de Presidente Bernardes - SP;3541208;SP;12943;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;77273589,95
Prefeitura Municipal de Sï¿½o Bernardo do Campo - SP;3548708;SP;849874;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;5829729944,43
Prefeitura Municipal de Eldorado - SP;3514809;SP;15592;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;83890657,4
Prefeitura Municipal de Tupi Paulista - SP;3555109;SP;15670;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;78982092,57
Prefeitura Municipal de Ribeirï¿½o Pires - SP;3543303;SP;125238;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;530684339,47
Prefeitura Municipal de Sï¿½o Lourenï¿½o da Serra - SP;3549953;SP;16127;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;76624513,65
Prefeitura Municipal de Guataparï¿½ - SP;3518859;SP;7760;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55090888,3
Prefeitura Municipal de Sï¿½o Sebastiï¿½o - SP;3550704;SP;91637;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1288562664,03
Prefeitura Municipal de Dois Cï¿½rregos - SP;3514106;SP;27704;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141117485,72
Prefeitura Municipal de Fartura - SP;3515400;SP;16102;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;93826150,93
Prefeitura Municipal de Bilac - SP;3506409;SP;8197;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57049211,67
Prefeitura Municipal de Itapevi - SP;3522505;SP;244131;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1208954426,81
Prefeitura Municipal de Carapicuï¿½ba - SP;3510609;SP;405375;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;933328581,05
Prefeitura Municipal de Votuporanga - SP;3557105;SP;96106;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;526447025,25
Prefeitura Municipal de Tejupï¿½ - SP;3554201;SP;4452;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;41638965,72
Prefeitura Municipal de Campos Novos Paulista - SP;3509809;SP;5028;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;45418109,52
Prefeitura Municipal de Jacareï¿½ - SP;3524402;SP;237119;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1442704827,86
Prefeitura Municipal de Paraguaï¿½u Paulista - SP;3535507;SP;46180;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;275636281,83
Prefeitura Municipal de Sï¿½o Pedro do Turvo - SP;3550506;SP;7724;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;61642789,25
Prefeitura Municipal de Penï¿½polis - SP;3537305;SP;64098;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;329017423,32
Prefeitura Municipal de Ibirarema - SP;3519501;SP;7926;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;49138465,09
Prefeitura Municipal de Nova Campina - SP;3532827;SP;9962;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;56171751,32
Prefeitura Municipal de Vï¿½rzea Paulista - SP;3556503;SP;124269;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;443760708,76
Prefeitura Municipal de Coroados - SP;3512506;SP;6197;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;42936757,01
Prefeitura Municipal de Vitï¿½ria Brasil - SP;3556958;SP;1852;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25283194,26
Prefeitura Municipal de Dumont - SP;3514601;SP;10174;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;56368459,63
Prefeitura Municipal de Analï¿½ndia - SP;3502002;SP;5115;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48193368,16
Prefeitura Municipal de Monte Mor - SP;3531803;SP;61707;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;407361777,96
Prefeitura Municipal de Borborema - SP;3507407;SP;16278;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;90664851,58
Prefeitura Municipal de Pacaembu - SP;3534906;SP;14326;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;66168547,84
Prefeitura Municipal de Ouro Verde - SP;3534807;SP;8676;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;45339427,81
Prefeitura Municipal de Monte Alegre do Sul - SP;3531209;SP;8181;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50452985,1
Prefeitura Municipal de Santo Antï¿½nio de Posse - SP;3548005;SP;23742;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;167838023,75
Prefeitura Municipal de Itariri - SP;3523305;SP;17754;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;79133687,38
Prefeitura Municipal de Macatuba - SP;3528007;SP;17263;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;127275511,45
Prefeitura Municipal de Iguape - SP;3520301;SP;31117;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;190427652,34
Prefeitura Municipal de Hortolï¿½ndia - SP;3519071;SP;237570;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1473980308,95
Prefeitura Municipal de Piratininga - SP;3539400;SP;13890;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;85786313,67
Prefeitura Municipal de Aspï¿½sia - SP;3503950;SP;1815;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;24259866,39
Prefeitura Municipal de Boa Esperanï¿½a do Sul - SP;3506706;SP;15111;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;93554127,29
Prefeitura Municipal de Pongaï¿½ - SP;3540101;SP;3385;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;32193479,69
