municipio;tipo;estadual;federal;municipal;particular;total
BORACEIA;ubs;0;0;2;0;2
BORBOREMA;clinica;0;0;1;7;8
BORBOREMA;consultorio;0;0;0;18;18
BORBOREMA;diagnose_terapia;0;0;0;3;3
BORBOREMA;hospital;0;0;0;1;1
BORBOREMA;outros;0;0;1;0;1
BORBOREMA;pronto_atendimento;0;0;1;0;1
BORBOREMA;ubs;0;0;6;0;6
BORBOREMA;saude_mental;0;0;1;0;1
BOREBI;clinica;0;0;1;0;1
BOREBI;outros;0;0;1;0;1
BOREBI;ubs;0;0;2;0;2
BOTUCATU;clinica;4;0;3;34;41
BOTUCATU;consultorio;1;0;1;715;717
BOTUCATU;diagnose_terapia;0;0;0;11;11
BOTUCATU;hospital;1;0;1;3;5
BOTUCATU;outros;3;0;8;10;21
BOTUCATU;ubs;1;0;20;1;22
BOTUCATU;saude_mental;2;0;2;0;4
BOTUCATU;unidade_movel;0;0;3;0;3
BOTUCATU;vigilancia;0;0;1;0;1
BRAGANCA PAULISTA;clinica;0;0;7;94;101
BRAGANCA PAULISTA;consultorio;0;0;1;348;349
BRAGANCA PAULISTA;diagnose_terapia;1;0;0;30;31
BRAGANCA PAULISTA;hospital;0;0;0;7;7
BRAGANCA PAULISTA;outros;0;0;7;15;22
BRAGANCA PAULISTA;pronto_atendimento;0;0;2;1;3
BRAGANCA PAULISTA;ubs;0;0;29;0;29
BRAGANCA PAULISTA;saude_mental;0;0;2;0;2
BRAGANCA PAULISTA;unidade_movel;1;0;6;0;7
BRAGANCA PAULISTA;vigilancia;0;0;2;0;2
BRAUNA;diagnose_terapia;0;0;0;1;1
BRAUNA;outros;0;0;2;0;2
BRAUNA;ubs;0;0;1;0;1
BREJO ALEGRE;outros;0;0;2;0;2
BREJO ALEGRE;ubs;0;0;2;0;2
BREJO ALEGRE;vigilancia;0;0;1;0;1
BRODOWSKI;clinica;0;0;3;2;5
BRODOWSKI;consultorio;0;0;0;39;39
BRODOWSKI;diagnose_terapia;0;0;0;6;6
BRODOWSKI;outros;0;0;1;0;1
BRODOWSKI;pronto_atendimento;0;0;1;0;1
BRODOWSKI;ubs;0;0;6;0;6
BRODOWSKI;unidade_movel;0;0;1;0;1
BROTAS;clinica;0;0;0;1;1
BROTAS;consultorio;0;0;0;65;65
BROTAS;diagnose_terapia;0;0;0;6;6
BROTAS;hospital;0;0;0;1;1
BROTAS;outros;0;0;2;1;3
BROTAS;ubs;0;0;7;0;7
BROTAS;saude_mental;0;0;1;0;1
BURI;clinica;0;0;2;1;3
BURI;consultorio;0;0;0;2;2
BURI;diagnose_terapia;0;0;0;2;2
BURI;outros;0;0;6;1;7
BURI;pronto_atendimento;0;0;1;0;1
BURI;ubs;0;0;9;0;9
BURI;saude_mental;0;0;1;0;1
BURITAMA;clinica;0;0;3;4;7
BURITAMA;consultorio;0;0;0;19;19
BURITAMA;diagnose_terapia;0;0;0;1;1
BURITAMA;hospital;0;0;0;1;1
BURITAMA;outros;0;0;3;0;3
BURITAMA;ubs;0;0;2;0;2
BURITAMA;saude_mental;0;0;1;0;1
BURITAMA;vigilancia;0;0;1;0;1
BURITIZAL;consultorio;0;0;0;4;4
BURITIZAL;diagnose_terapia;0;0;0;2;2
BURITIZAL;outros;0;0;1;0;1
BURITIZAL;ubs;0;0;2;0;2
CABRALIA PAULISTA;clinica;0;0;1;0;1
CABRALIA PAULISTA;outros;0;0;1;0;1
CABRALIA PAULISTA;ubs;0;0;2;0;2
CABREUVA;clinica;0;0;5;10;15
CABREUVA;consultorio;0;0;0;8;8
CABREUVA;diagnose_terapia;0;0;0;6;6
CABREUVA;hospital;0;0;0;2;2
CABREUVA;outros;0;0;4;1;5
