municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em laboratorio clinico;diagnostico por radiologia;diagnostico por teste rapido;tratamentos clinicos (outras especialidades);parto e nascimento;cirurgia obstetrica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;acoes relacionadas ao atendimento;populacao;receita_anual;ids
TAQUARAL;-21,0737;-48,4126;0;0;0;0;0;0;0;0;0;1;0;0;299;0;2187;133;0;0;5633;0;0;0;0;0;0;0;0;2815;30735733.83;0.719
TAQUARITINGA;-21,4049;-48,5103;0;0;0;2;1;0;0;8;147;1;3;0;20100;5574;14314;11901;0;353;17876;2550;187;0;149;3;22;4;724;57547;291715044.39;0.532
TAQUARITUBA;-23,5307;-49,241;0;0;0;1;0;0;0;1;11;0;1;0;8216;736;5974;8013;0;151;44294;590;40;46;69;11;14;7;249;23292;139675991.72;0.599
TAQUARIVAI;-23,9211;-48,6948;0;0;0;0;0;0;0;0;0;1;0;0;1912;329;1772;2776;0;0;6620;0;0;0;0;0;0;0;0;5968;46557779.99;0.607
TARABAI;-22,3016;-51,5621;0;0;0;0;0;0;0;1;1;0;0;0;1164;0;4279;1032;0;0;107;0;0;0;0;0;0;0;0;7609;46477798.46;0.195
TARUMA;-22,7429;-50,5786;0;0;0;0;0;0;0;1;7;1;1;0;5256;1570;6734;1219;0;0;21189;0;0;0;0;0;0;0;0;15361;116889411.73;0.658
TATUI;-23,3487;-47,8461;0;0;0;2;0;0;9;28;360;1;8;4422;50744;18459;12959;35051;0;57553;105745;7762;442;178;372;78;92;2;1431;124134;577441658.9;0.749
TAUBATE;-23,0104;-45,5593;1;0;1;9;2;0;11;260;598;4;10;14873;193288;39071;31438;29913;0;904;271725;19998;1195;256;651;93;144;1;2853;320820;1642351807.58;0.778
TEJUPA;-23,3425;-49,3722;0;0;0;0;0;0;0;0;0;0;0;0;191;0;3022;657;0;14;283;0;0;0;0;0;0;0;0;4452;41638965.72;0.247
TEODORO SAMPAIO;-22,5299;-52,1682;0;0;0;1;0;0;0;4;28;0;0;0;4015;3036;5465;9578;0;119;18574;898;35;0;66;2;4;0;256;23395;124451758.9;0.624
TERRA ROXA;-20,787;-48,3314;0;0;0;1;0;0;1;0;6;1;0;0;5209;0;1071;1343;0;28;2479;30;0;0;15;0;0;0;0;9502;47613683.34;0.44
TIETE;-23,1101;-47,7164;0;0;0;1;0;0;3;13;119;0;0;265;22662;3594;5993;4876;0;333;9129;855;42;0;109;19;36;0;238;42946;237535629.23;0.528
TIMBURI;-23,2057;-49,6096;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1604;847;0;16;23;0;0;0;0;0;0;0;0;2647;33750208.89;0.28
TORRE DE PEDRA;-23,2462;-48,1955;0;0;0;0;0;0;0;0;0;0;0;0;529;0;995;271;0;0;0;0;0;0;0;0;0;0;0;2432;25634911.82;0.252
TORRINHA;-22,4237;-48,1731;0;0;0;1;0;0;0;0;2;0;0;0;6089;0;1722;1214;0;0;2829;82;3;0;9;0;0;0;0;10100;57442873.53;0.391
TRABIJU;-22,0388;-48,3342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1476;204;0;9;0;0;0;0;0;0;0;0;0;1752;24274034.57;0.25
TREMEMBE;-22,9571;-45,5475;0;0;0;1;0;1;12;0;10;1;1;5017;22922;3004;2969;6925;2787;120;24642;0;0;0;0;0;0;0;0;48228;222877054.93;0.542
TRES FRONTEIRAS;-20,2344;-50,8905;0;0;0;0;0;0;1;0;0;0;0;0;2191;0;3569;803;0;42;96;0;0;0;0;0;0;0;0;5856;37651130.55;0.205
TUIUTI;-22,8193;-46,6937;0;0;0;0;0;0;1;0;1;0;1;0;1831;0;4095;797;0;23;53;0;0;0;0;0;0;0;0;7058;34354829.41;0.193
TUPA;-21,9335;-50,5191;1;0;0;2;0;0;4;24;217;1;0;854;31544;3641;16657;9479;0;376;43890;0;0;0;0;0;0;0;0;65615;284961127.09;0.786
TUPI PAULISTA;-21,3825;-51,575;0;0;0;1;0;0;1;1;40;1;0;0;11473;1019;1373;0;0;130;25899;900;38;0;64;2;4;0;305;15670;78982092.57;0.778
TURIUBA;-20,9428;-50,1135;0;0;0;0;0;0;0;0;0;0;0;0;339;0;900;333;0;1;2612;0;0;0;0;0;0;0;0;2024;31923748.38;0.676
TURMALINA;-20,0486;-50,4792;0;0;0;0;0;0;1;0;0;0;0;0;404;0;1109;152;0;8;0;0;0;0;0;0;0;0;0;1667;31256494.12;0.376
UBARANA;-21,165;-49,7198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2160;3201;0;26;7106;0;0;0;0;0;0;0;0;6488;59098456.81;0.591
UBATUBA;-23,4332;-45,0834;0;0;0;2;0;0;3;9;36;0;5;1098;35177;7118;7970;19118;16095;306;72389;4796;251;129;266;33;27;0;400;92819;646781246.82;0.621
UBIRAJARA;-22,5272;-49,6613;0;0;0;0;0;0;0;0;0;0;0;0;750;983;1547;1661;0;21;6603;0;0;0;0;0;0;0;0;4828;39467997.94;0.584
UCHOA;-20,9511;-49,1713;0;0;0;0;0;0;0;2;19;0;0;0;5991;538;2483;1086;0;53;3048;0;0;0;0;0;0;0;0;10191;69491436.4;0.507
UNIAO PAULISTA;-20,8862;-49,9025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;935;668;0;9;0;0;0;0;0;0;0;0;0;1886;23294787.53;0.235
URANIA;-20,2455;-50,6455;0;0;0;1;0;0;1;0;2;0;1;0;3891;0;4818;0;0;114;2933;144;0;0;12;0;0;0;0;9125;45315908.43;0.425
URU;-21,7866;-49,2848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1311;0;0;7;2680;0;0;0;0;0;0;0;0;1142;25639548.85;0.635
URUPES;-21,2032;-49,2931;0;0;0;1;0;0;1;4;15;1;1;0;7506;257;5377;574;0;0;7352;430;27;0;39;0;0;0;167;13965;85197511.27;0.657
VALENTIM GENTIL;-20,4217;-50,0889;0;0;0;0;0;0;0;0;18;0;0;0;8955;1432;1159;2421;0;22;27051;0;0;0;0;0;0;0;0;13732;82125982.11;0.658
VALINHOS;-22,9698;-46,9974;0;0;0;2;0;0;12;63;408;2;1;26601;77460;13825;5326;1775;0;216;52079;4651;206;46;156;18;25;927;2140;133169;972273114.67;0.752
VALPARAISO;-21,2229;-50,8699;0;0;0;1;0;0;2;4;31;0;0;0;8425;1703;4566;6248;0;61;22526;292;24;18;25;0;9;0;56;27154;147962623.81;0.668
VARGEM;-22,887;-46,4124;0;0;0;0;0;0;0;0;0;0;1;0;3114;510;2908;3640;0;0;14719;0;0;0;0;0;0;0;0;10842;48535618.68;0.531
VARGEM GRANDE DO SUL;-21,8322;-46,8913;0;0;0;1;0;0;3;14;99;1;1;0;18474;694;17299;3397;0;290;2675;1541;117;29;98;10;21;40;645;43368;209608429.4;0.392
VARGEM GRANDE PAULISTA;-23,5993;-47,022;0;0;0;1;0;0;4;23;13;1;2;6692;21062;8431;3183;10610;0;128;31306;0;0;0;0;0;0;0;0;54315;273776416.49;0.601
VARZEA PAULISTA;-23,2136;-46,8234;1;0;0;0;0;0;3;14;13;1;1;463;58373;19384;8681;12650;15337;156;32991;774;40;0;50;0;0;0;18;124269;443760708.76;0.317
VERA CRUZ;-22,2183;-49,8207;0;0;0;0;0;0;0;4;10;1;0;0;6042;363;955;2724;0;0;14949;0;0;0;0;0;0;0;0;10804;54832430.89;0.668
VINHEDO;-23,0302;-46,9833;0;0;0;1;0;0;5;41;303;2;0;22317;28867;18387;0;5935;0;293;53831;3817;187;45;100;11;34;79;449;81516;812336897.82;0.924
VIRADOURO;-20,8734;-48,293;0;0;0;1;0;0;4;2;23;1;0;210;5541;2259;4621;4573;0;0;801;256;6;0;27;0;0;0;67;19133;110360757.31;0.333
VISTA ALEGRE DO ALTO;-21,1692;-48,6284;0;0;0;0;0;0;1;0;5;0;0;0;3734;502;1170;2641;0;0;0;0;0;0;0;0;0;0;0;9163;60038985.2;0.236
VITORIA BRASIL;-20,1956;-50,4875;0;0;0;0;0;0;1;0;0;0;0;0;249;154;1359;0;0;11;72;0;0;0;0;0;0;0;0;1852;25283194.26;0.391
VOTORANTIM;-23,5446;-47,4388;1;0;1;0;0;0;3;15;76;2;5;4606;70115;33751;2360;10883;4465;172;43295;4695;109;93;187;50;44;3;977;124468;582265519.15;0.452
VOTUPORANGA;-20,4237;-49,9781;0;0;0;2;1;0;6;56;409;2;6;2019;46540;19316;9123;19360;0;307;132983;0;0;0;0;0;0;0;0;96106;526447025.25;0.818
ZACARIAS;-21,0506;-50,0552;0;0;0;0;0;0;0;0;0;0;0;0;942;104;1535;0;0;18;7094;0;0;0;0;0;0;0;0;2784;41751046.39;0.682
CHAVANTES;-23,0366;-49,7096;0;0;0;1;0;0;0;0;15;0;0;0;4549;539;3966;2846;0;31;8348;0;0;0;0;0;0;0;0;12418;60422585.6;0.615
ESTIVA GERBI;-22,2713;-46,9481;0;0;0;0;0;0;1;1;4;1;1;485;6343;624;2968;523;0;0;11871;0;0;0;0;0;0;0;0;11507;72284247.28;0.674
