cod_ibge;grupo_ipvs;n_pessoas;n_domicilios;n_setores
CACAPAVA;Baixa Vulnerabilidade;8723;3153;18
CACAPAVA;Média Vulnerabilidade;13767;4762;25
CACAPAVA;Alta Vulnerabilidade;12905;4149;22
CACAPAVA;Muito Alta Vulnerabilidade;343;104;1
CACHOEIRA PAULISTA;Baixíssima Vulnerabilidade;1447;501;3
CACHOEIRA PAULISTA;Muito Baixa Vulnerabilidade;16054;5699;40
CACHOEIRA PAULISTA;Baixa Vulnerabilidade;2775;999;6
CACHOEIRA PAULISTA;Média Vulnerabilidade;8297;2727;20
CACHOEIRA PAULISTA;Alta Vulnerabilidade;2471;806;6
CACONDE;Muito Baixa Vulnerabilidade;7841;2948;22
CACONDE;Baixa Vulnerabilidade;223;80;1
CACONDE;Média Vulnerabilidade;6138;2220;12
CACONDE;Alta Vulnerabilidade;2430;825;7
CAFELANDIA;Baixíssima Vulnerabilidade;533;224;1
CAFELANDIA;Muito Baixa Vulnerabilidade;7413;2869;24
CAFELANDIA;Baixa Vulnerabilidade;614;235;2
CAFELANDIA;Média Vulnerabilidade;4698;1759;14
CAFELANDIA;Alta Vulnerabilidade;2822;967;6
CAIABU;Muito Baixa Vulnerabilidade;664;256;2
CAIABU;Média Vulnerabilidade;2564;1027;6
CAIABU;Alta Vulnerabilidade;291;110;1
CAIEIRAS;Baixíssima Vulnerabilidade;3827;1301;10
CAIEIRAS;Muito Baixa Vulnerabilidade;52632;18259;100
CAIEIRAS;Baixa Vulnerabilidade;21514;7449;34
CAIEIRAS;Média Vulnerabilidade;1979;682;5
CAIEIRAS;Alta Vulnerabilidade;7675;2675;16
CAIEIRAS;Muito Alta Vulnerabilidade;6832;2227;15
CAIUA;Muito Baixa Vulnerabilidade;493;211;2
CAIUA;Média Vulnerabilidade;3106;1205;10
CAIUA;Alta Vulnerabilidade;708;276;2
CAJAMAR;Baixíssima Vulnerabilidade;1944;666;6
CAJAMAR;Muito Baixa Vulnerabilidade;28920;10143;63
CAJAMAR;Baixa Vulnerabilidade;23650;8720;53
CAJAMAR;Média Vulnerabilidade;5475;1875;13
CAJAMAR;Alta Vulnerabilidade;20748;7232;39
CAJAMAR;Muito Alta Vulnerabilidade;10708;3633;31
CAJATI;Muito Baixa Vulnerabilidade;4876;1745;8
CAJATI;Baixa Vulnerabilidade;1076;382;2
CAJATI;Média Vulnerabilidade;8496;3010;23
CAJATI;Alta Vulnerabilidade;13840;4696;28
CAJOBI;Muito Baixa Vulnerabilidade;5088;2006;14
CAJOBI;Baixa Vulnerabilidade;138;48;1
CAJOBI;Média Vulnerabilidade;2872;1098;6
CAJOBI;Alta Vulnerabilidade;843;296;2
CAJURU;Muito Baixa Vulnerabilidade;11390;4193;21
CAJURU;Baixa Vulnerabilidade;400;169;1
CAJURU;Média Vulnerabilidade;6589;2370;14
CAJURU;Alta Vulnerabilidade;5070;1771;6
CAMPINA DO MONTE ALEGRE;Muito Baixa Vulnerabilidade;1606;636;5
CAMPINA DO MONTE ALEGRE;Baixa Vulnerabilidade;866;314;1
CAMPINA DO MONTE ALEGRE;Média Vulnerabilidade;1200;436;3
CAMPINA DO MONTE ALEGRE;Alta Vulnerabilidade;2023;705;3
CAMPINAS;Baixíssima Vulnerabilidade;164725;68137;390
CAMPINAS;Muito Baixa Vulnerabilidade;527920;201236;1118
CAMPINAS;Baixa Vulnerabilidade;148728;62435;347
CAMPINAS;Média Vulnerabilidade;66893;22668;131
CAMPINAS;Alta Vulnerabilidade;81633;27807;148
CAMPINAS;Muito Alta Vulnerabilidade;139454;45321;288
CAMPO LIMPO PAULISTA;Baixíssima Vulnerabilidade;955;346;4
CAMPO LIMPO PAULISTA;Muito Baixa Vulnerabilidade;37150;13087;107
CAMPO LIMPO PAULISTA;Baixa Vulnerabilidade;8741;3030;22
CAMPO LIMPO PAULISTA;Média Vulnerabilidade;6635;2279;21
CAMPO LIMPO PAULISTA;Alta Vulnerabilidade;18946;6380;42
CAMPO LIMPO PAULISTA;Muito Alta Vulnerabilidade;2983;967;11
CAMPOS DO JORDAO;Baixíssima Vulnerabilidade;140;51;1
CAMPOS DO JORDAO;Muito Baixa Vulnerabilidade;18710;6698;63
CAMPOS DO JORDAO;Baixa Vulnerabilidade;5540;1983;15
CAMPOS DO JORDAO;Média Vulnerabilidade;5633;1913;14
CAMPOS DO JORDAO;Alta Vulnerabilidade;4934;1661;11
CAMPOS DO JORDAO;Muito Alta Vulnerabilidade;9061;2905;22
CAMPOS NOVOS PAULISTA;Muito Baixa Vulnerabilidade;1682;649;5
