municipio;acoes coletivas / individuais em saude;vigilancia em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico em vigilancia epidemiologica e ambiental;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;anestesiologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;autorizacao / regulacao;total
IPE�NA;1057.0;;171.0;;;247.0;40.0;;;;;;81.0;;;585.0;4475.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6656
IPIGU�;;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50
IPORANGA;;;;;;;72.0;;;;;;18.0;;;48.0;741.0;;;;;;;;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;903
IPU�;122.0;;20.0;1058.0;8.0;328.0;;;;;;;76.0;;19.0;157.0;5706.0;;4.0;;;;81.0;;;52.0;;2.0;;;;;;;;;;35.0;;;;;;;;;;;;;;7668
IRACEM�POLIS;9416.0;;211.0;;;55.0;;;;;;;88.0;;;1274.0;15267.0;;20.0;;;;791.0;;;2.0;;15.0;;;;;;;;;;126.0;;;;;;;;;;;;;400;27665
IRAPU�;6597.0;34.0;499.0;1.0;;;;;;;;;44.0;;;1017.0;17252.0;690.0;;;;;230.0;;;2.0;;;;;;;;;;;;70.0;;;;;;;;;;;;;3781;30217
IRAPURU;3981.0;31.0;1529.0;;;;;;;;;;10.0;;;228.0;6101.0;;1.0;;;;143.0;;;1.0;;1.0;;;;;;;;;;17.0;;;;;;;;;;;;;;12043
ITABER�;2744.0;22.0;87.0;2277.0;;416.0;235.0;;;;;;216.0;;;711.0;19960.0;105.0;;;;;151.0;;;15.0;;;;;;;;;;;;61.0;;;;;;;;;;;;;;27000
ITA�;;;47.0;430.0;;672.0;;;;;;;71.0;;;114.0;9078.0;548.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10960
ITAJOBI;9055.0;200.0;705.0;1450.0;;832.0;97.0;;;;;;180.0;;;889.0;28019.0;1799.0;3.0;;;;949.0;200.0;;56.0;;;;;;;;;;;;107.0;;;;;;;;;;24.0;;;;44565
ITAJU;4614.0;17.0;405.0;;;2.0;;;;;;;;;;442.0;7301.0;;;;;;228.0;;;;;;;;;;;;;;;32.0;;;;;;;;;;53.0;;;;13094
ITANHA�M;7049.0;122.0;2879.0;48263.0;567.0;3147.0;915.0;7.0;;;38.0;;923.0;;;4689.0;86829.0;470.0;112.0;;;;369.0;;;68.0;;3.0;;;1.0;12.0;;;;;6.0;13.0;;;;;;;;;;;;;8421;164903
ITA�CA;;7.0;;;;;9.0;;;;;;18.0;;;23.0;98.0;122.0;;;;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;301
ITAPECERICA DA SERRA;280.0;181.0;7164.0;9714.0;;2436.0;26.0;;;;30.0;;1600.0;;;1284.0;116082.0;667.0;;;2567.0;;525.0;;;202.0;;90.0;;;;;22.0;;;;;146.0;;;16.0;;;;;;;;6.0;;;143038
ITAPETININGA;62.0;806.0;11.0;59765.0;1518.0;6617.0;1314.0;1052.0;;;120.0;;1496.0;154.0;;14.0;46457.0;3.0;130.0;;;55.0;342.0;70.0;;571.0;;15.0;;;12.0;22.0;1.0;;;4.0;;72.0;;151.0;;;;;;;;52.0;;;;120886
ITAPEVA;19821.0;515.0;4626.0;39359.0;1724.0;4100.0;1069.0;370.0;57.0;;205.0;;1209.0;530.0;3.0;1868.0;73037.0;985.0;90.0;407.0;2462.0;941.0;1641.0;81.0;;105.0;;6.0;18.0;1.0;2.0;41.0;21.0;1.0;;3.0;;422.0;;;18.0;;;;;;;;4.0;;;155742
ITAPEVI;1439.0;328.0;5818.0;84527.0;;18081.0;1180.0;;;;;;745.0;;;7496.0;127240.0;1016.0;688.0;;;;79.0;25.0;;500.0;;37.0;;;;20.0;18.0;;;1.0;;126.0;;40.0;;;;;;;;;;;;249404
ITAPIRA;6991.0;;289.0;36934.0;2.0;2971.0;775.0;299.0;;;100.0;;3398.0;28.0;13.0;1934.0;60164.0;2230.0;155.0;;;59.0;2864.0;;;1017.0;;7.0;49.0;;;;11.0;;;;;473.0;;;;;;;;;;61.0;;;4329;125153
ITAPIRAPU� PAULISTA;;44.0;;;;;15.0;;;;;;21.0;;;140.0;1066.0;150.0;;;;;88.0;;;11.0;;5.0;;;;;;;;;;;;;;;;;;;;43.0;;;;1583
IT�POLIS;5040.0;352.0;1054.0;5820.0;;1545.0;611.0;120.0;;;;;544.0;;;1704.0;38214.0;1173.0;;;;;879.0;65.0;;88.0;;1.0;;;;;;;;;;128.0;;24.0;;;;;;;;37.0;;;3501;60900
ITAPORANGA;225.0;55.0;169.0;;;;;;;;;;;;;247.0;5667.0;;;;;;13.0;;;;;;;;;;;;;;;9.0;;;;;;;;;;;;;;6385
ITAPU�;1214.0;539.0;726.0;4576.0;;932.0;252.0;;;;;;143.0;;;1697.0;324456.0;521.0;;;;;291.0;71.0;;9.0;;;;;;;5.0;;;;;75.0;;;;;;;;;;;;;3134;338641
ITAPURA;132.0;77.0;;;;40.0;50.0;;;;;;;;;1.0;198.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.0;;;5678;6282
ITAQUAQUECETUBA;10067.0;279.0;3014.0;10565.0;;3969.0;357.0;;;;36.0;;557.0;;8.0;11705.0;267965.0;13720.0;28.0;;;;25.0;1.0;;328.0;;1.0;;;;;88.0;;;;;2.0;;;;;;;;;;;;;;322715
ITARAR�;;;82.0;8311.0;;1416.0;246.0;21.0;;;32.0;;422.0;;;72.0;12833.0;;84.0;;;;;;;159.0;;2.0;;;;5.0;;;;;;;;;;;;;;;;;;;;23685
ITATIBA;30074.0;591.0;2124.0;43864.0;149.0;4983.0;2375.0;281.0;60.0;15.0;191.0;;3014.0;;;6440.0;91814.0;2367.0;164.0;;987.0;;5876.0;3.0;;255.0;;56.0;;;14.0;19.0;4.0;;;;;478.0;;17.0;2.0;;;;;;;43.0;1.0;;1742;198003
ITATINGA;;62.0;;3724.0;;676.0;201.0;;;;;;327.0;;;;4053.0;;;;;;1.0;;;58.0;;;;;;;;;;;;;;;;;;;;;;2.0;;;2204;11308
ITIRAPINA;10462.0;9.0;321.0;5.0;;799.0;;;;;;;224.0;;;1428.0;26404.0;304.0;2.0;;;;107.0;;;118.0;;;;;;;;;;;;34.0;;;;;;;;;;;;;2366;42583
ITIRAPU�;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;;;1041;1085
ITOBI;705.0;;;;;;25.0;;;;;;;;;193.0;8266.0;102.0;;;;;86.0;;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;9392
ITU;16619.0;988.0;1583.0;74475.0;1032.0;6194.0;2565.0;1177.0;;;357.0;;2146.0;;;3059.0;97563.0;2609.0;37.0;;;;883.0;182.0;;438.0;;35.0;542.0;;;9.0;11.0;;;;;200.0;;159.0;;;;;;;;108.0;;;4370;217341
ITUPEVA;7262.0;377.0;4295.0;42953.0;;2507.0;634.0;447.0;34.0;;58.0;;711.0;;370.0;1056.0;75331.0;2325.0;124.0;;;;2223.0;73.0;;41.0;;24.0;;;;;;;;;;287.0;;;;;;;;;;7.0;;;;141139
ITUVERAVA;1490.0;;45.0;18631.0;;2004.0;268.0;512.0;18.0;;63.0;;62.0;;1.0;169.0;12920.0;1179.0;20.0;;1296.0;;1237.0;51.0;;9.0;;;;;;1.0;;;;;;202.0;;;14.0;;;;;;;62.0;27.0;;;40281
JABORANDI;1264.0;248.0;229.0;2021.0;;;;;;;;;60.0;;;221.0;11752.0;435.0;;;;;;;;60.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;16291
JABOTICABAL;25564.0;297.0;1651.0;37796.0;303.0;671.0;868.0;157.0;;;35.0;;1186.0;;3.0;928.0;46076.0;777.0;938.0;;1762.0;;2656.0;;;664.0;;42.0;4.0;;;6.0;;;;;;206.0;;1.0;5.0;;;;;;;;4.0;;;122600
JACARE�;25139.0;1252.0;2025.0;135332.0;1383.0;7088.0;3064.0;567.0;268.0;29.0;396.0;;4384.0;1091.0;;4085.0;100696.0;8682.0;1118.0;703.0;1881.0;686.0;1208.0;2.0;;271.0;;7.0;424.0;9.0;5.0;32.0;;;;;;159.0;;177.0;22.0;;;;;;;15.0;34.0;;;302234
JACI;1052.0;11.0;;;;;75.0;;;;;;;;;;87.0;;;;;;93.0;;;;;;;;;;;;;;;42.0;;;;;;;;;;;;;;1360
JACUPIRANGA;642.0;;;8764.0;;457.0;108.0;;;;;;208.0;;;601.0;15146.0;1105.0;7.0;;;;;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;27059
JAGUARI�NA;284.0;157.0;1008.0;40667.0;151.0;4643.0;2058.0;660.0;117.0;;178.0;;2309.0;;1.0;9347.0;41131.0;2759.0;205.0;;;4.0;351.0;;;210.0;;20.0;;;;;;;;;8.0;19.0;;;;;;;;;;24.0;;;;106311
JALES;265.0;277.0;1.0;5504.0;;1701.0;;;;;;;408.0;;;991.0;32388.0;484.0;;;;;220.0;;;179.0;;7.0;;;;;;;;;;48.0;;;;;;;;;;21.0;;;;42494
JAMBEIRO;;30.0;;;;;;;;;;;;;;;1519.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1549
JANDIRA;988.0;103.0;78.0;50941.0;;2440.0;191.0;;;;;;708.0;;;2347.0;63272.0;1380.0;;;;;688.0;;;273.0;;44.0;;;;1.0;;;;;;48.0;;;;;;;;;;7.0;;;;123509
JARDIN�POLIS;32179.0;235.0;521.0;;;16.0;;;;;;;233.0;;;2949.0;26715.0;451.0;;;;;1533.0;;;77.0;;;;;;;;;;;;220.0;;;;;;;;;;20.0;;;;65149
JARINU;;;;16349.0;;885.0;;;;;;;225.0;;;34.0;21388.0;954.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;39836
JA�;7078.0;159.0;369.0;36702.0;69.0;5719.0;740.0;1113.0;;;29.0;;2385.0;34.0;;1055.0;79753.0;2233.0;388.0;;2052.0;;619.0;156.0;;17.0;;2.0;142.0;;;14.0;22.0;;;;;210.0;;;41.0;;;;;;;993.0;40.0;;;142134
JERIQUARA;;;224.0;;;;;;;;;;;;;100.0;2025.0;85.0;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;2439
JOAN�POLIS;1351.0;78.0;152.0;;;363.0;106.0;;;;;;96.0;;;366.0;13837.0;;;;;;534.0;;;;;;;;;;;;;;;87.0;;;;;;;;;;;;;;16970
JO�O RAMALHO;;110.0;;1496.0;;;;;;;;;;;;;276.0;181.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2063
JOS� BONIF�CIO;6739.0;161.0;150.0;3906.0;;11.0;171.0;;;;;;9.0;;;1273.0;28990.0;1361.0;;;;;1252.0;118.0;;;;86.0;;;;;;;;;;202.0;;;;;;;;;;88.0;;;;44517
J�LIO MESQUITA;;;25.0;;;;;;;;;;;;;;166.0;191.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;382
JUMIRIM;471.0;40.0;;1799.0;;;;;;;;;14.0;;;;319.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1850;4493
JUNDIA�;7946.0;1545.0;18023.0;163768.0;2864.0;20357.0;7907.0;2156.0;529.0;169.0;662.0;;26613.0;85.0;7.0;7066.0;283685.0;4875.0;1985.0;1879.0;;130.0;7951.0;762.0;;523.0;;125.0;601.0;1.0;3.0;139.0;8.0;1.0;;;;1630.0;;16.0;2.0;;;;;1.0;;1171.0;;;;565185
JUNQUEIR�POLIS;448.0;26.0;6081.0;4738.0;;836.0;;;;;;;691.0;;367.0;411.0;12285.0;1478.0;90.0;;;;538.0;326.0;;39.0;;4.0;;;;;;;;;;18.0;;;;;;;;;;78.0;;;4532;32986
JUQUI�;;194.0;2515.0;7740.0;;692.0;171.0;;;;;;273.0;;;632.0;11722.0;523.0;;;;;194.0;;;38.0;;;;;;;;;;;;;;;;;;;;;;55.0;;;;24749
JUQUITIBA;;240.0;1047.0;;;1292.0;130.0;;;;;;279.0;;;279.0;18084.0;309.0;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;21665
LAGOINHA;;11.0;20.0;;;;;;;;;;10.0;;;5.0;1408.0;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;1458
LARANJAL PAULISTA;770.0;;332.0;8509.0;;1170.0;198.0;;;;10.0;;297.0;;8.0;1267.0;25631.0;754.0;8.0;;;28.0;430.0;54.0;;200.0;;1.0;;;;;;;;;;126.0;;;;;;;;;;;;;176;39969
LAV�NIA;5378.0;;77.0;10.0;;;;;;;;;;;;1585.0;4552.0;;;;;;96.0;;;;;;;;;;;;;;;21.0;;;;;;;;;;;;;1374;13093
LAVRINHAS;;8.0;;;;115.0;40.0;;;;;;17.0;;;;59.0;73.0;;;;;;;;53.0;;;;;;;;;;;;;;;;;;;;;;;;;790;1155
LEME;24414.0;499.0;3896.0;43430.0;105.0;6017.0;1344.0;231.0;;;;;1797.0;;;8259.0;97340.0;1877.0;3.0;;1586.0;4.0;5633.0;160.0;;1127.0;;10.0;32.0;;1.0;8.0;;;;1.0;;715.0;4.0;;32.0;;;;;;;159.0;31.0;;;198715
LEN��IS PAULISTA;50666.0;453.0;5431.0;34244.0;40.0;1333.0;983.0;364.0;130.0;;166.0;;775.0;;;7547.0;80062.0;9352.0;878.0;;;;1696.0;40.0;;175.0;;283.0;;;12.0;;8.0;;;;;160.0;;103.0;;;;;;;;;;;;194901
LIMEIRA;3735.0;;1706.0;124077.0;1788.0;11236.0;3336.0;997.0;181.0;22.0;340.0;;4176.0;1602.0;1539.0;1358.0;116966.0;6462.0;529.0;741.0;1820.0;1539.0;4100.0;;;136.0;;6.0;153.0;3.0;;25.0;2.0;;;1.0;121.0;819.0;;2.0;16.0;;;;;;;229.0;21.0;;;289784
LIND�IA;54.0;;21.0;38462.0;;391.0;1712.0;;;;145.0;;2323.0;;;;1514.0;550.0;;;;;1406.0;;;129.0;;41.0;;;6.0;;;;;;;139.0;3.0;;;;;;;;;72.0;;;;46968
LINS;302.0;276.0;51.0;16544.0;;2871.0;299.0;50.0;8.0;;;;448.0;;;356.0;16508.0;;;;;;199.0;;;160.0;;;;;;;;;;;;93.0;;;;;;;;;;20.0;;;;38185
LORENA;706.0;61.0;417.0;29549.0;308.0;3412.0;1044.0;561.0;54.0;;5.0;;3575.0;;;3.0;26766.0;183.0;26.0;;;;3004.0;;;268.0;;41.0;;;;;;;;;;457.0;;;;;;;;;;37.0;;;;70477
LOURDES;2908.0;;258.0;20.0;;;;;;;;;;;;57.0;8079.0;;;;;;257.0;17.0;;;;;;;;;;;;;;23.0;;;;;;;;;;;;;;11619
LOUVEIRA;;658.0;759.0;32857.0;54.0;2668.0;1662.0;370.0;54.0;22.0;93.0;;2520.0;;;295.0;30575.0;2439.0;181.0;;;;30.0;10.0;;341.0;;3.0;16.0;;30.0;6.0;;;;1.0;;1.0;;;;;;;;;;11.0;;;;75656
LUC�LIA;10382.0;;358.0;6294.0;;580.0;;;;;;;93.0;;;964.0;15531.0;1554.0;2.0;;;;479.0;;;37.0;;15.0;;1.0;;;;;;;;88.0;;;;;;;;;;22.0;;;;36400
LUCIAN�POLIS;935.0;;154.0;;;;;;;;;;;;;123.0;3699.0;;;;;;243.0;;;1.0;;2.0;;;;;;;;;;22.0;;;;;;;;;;76.0;;;;5255
LU�S ANT�NIO;102.0;;305.0;4893.0;;570.0;;;;;;;;;;1100.0;11849.0;;;;;;221.0;;;88.0;;24.0;;;;;;;;;;70.0;10.0;;;;;;;;;;;;;19232
LUIZI�NIA;2520.0;3.0;53.0;;;;;;;;;;21.0;;;250.0;5366.0;56.0;;;;;193.0;;;7.0;;;;;;;;;;;;19.0;;;;;;;;;;;;;;8488
LUP�RCIO;;2.0;;1989.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1991
LUT�CIA;;;;3277.0;;;;;;;;;;;6.0;;1090.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4373
MACATUBA;5586.0;105.0;454.0;5237.0;;782.0;68.0;;;;;;169.0;;;693.0;18287.0;958.0;;;;;943.0;;;15.0;;6.0;;;;;;;;;;216.0;;;;;;;;;;17.0;;;;33536
MACAUBAL;;42.0;23.0;205.0;;;;;;;;;48.0;;;;2420.0;350.0;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;3092
MACED�NIA;1818.0;6.0;231.0;;;;;;;;;;49.0;;;1.0;912.0;68.0;;;;;43.0;;;16.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;3146
MAGDA;;2.0;;1277.0;;;;;;;;;;;;;383.0;357.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.0;;;;2039
MAIRINQUE;95.0;;185.0;;;1130.0;249.0;;;;;;220.0;;;365.0;12899.0;338.0;;;;;379.0;;;23.0;;;;;;;;;;;;95.0;;;;;;;;;;;;;;15978
MAIRIPOR�;3183.0;195.0;522.0;47511.0;6.0;7065.0;342.0;;;;;;517.0;;;2134.0;51480.0;598.0;104.0;;;;1033.0;;;259.0;;277.0;;;;1.0;1.0;;;;;249.0;;;;;;;;;;30.0;;;;115507
MANDURI;;263.0;;4462.0;;;;;;;;;;;;65.0;4767.0;189.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9746
MARAB� PAULISTA;1395.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1402
MARACA�;6106.0;9117.0;145.0;467.0;;3.0;;;;;;;75.0;;;227.0;12939.0;580.0;4.0;;;1.0;667.0;;;7.0;;;;;;;5.0;;;;;82.0;;;;;;;;;;25.0;;;;30450
MARAPOAMA;1009.0;14.0;204.0;;;2.0;;;;;;;5.0;;;173.0;5813.0;568.0;;;;;269.0;;;7.0;;2.0;;;;;;;;;;34.0;;;;;;;;;;16.0;;;327;8443
MARI�POLIS;2843.0;;87.0;;;2.0;;;;;;;8.0;;;330.0;2872.0;132.0;;;;;136.0;;;10.0;;;;;;;;;;;;18.0;;;;;;;;;;18.0;;;;6456
MAR�LIA;636.0;537.0;2616.0;68712.0;1831.0;7887.0;2361.0;398.0;119.0;42.0;263.0;28.0;7494.0;74.0;;1238.0;61428.0;3779.0;281.0;801.0;2845.0;94.0;435.0;197.0;;891.0;;30.0;184.0;6.0;6.0;;3.0;;;;;107.0;;113.0;28.0;64.0;;;;54.0;;109.0;108.0;;;165799
MARIN�POLIS;134.0;36.0;21.0;;;;;;;;;;;;;4.0;1444.0;54.0;;;;;166.0;;;23.0;;;;;;;;;;;;4.0;;;;;;;;;;;;;27;1913
MARTIN�POLIS;54.0;1.0;1.0;3824.0;;510.0;112.0;;;;;;167.0;;;220.0;9766.0;1092.0;22.0;;;;87.0;;;60.0;;;;;;;;;;;;1.0;;;;;;;;;;28.0;;;;15945
MAT�O;8403.0;139.0;2004.0;11.0;;4.0;;;;;;;21.0;;;4729.0;38433.0;;;;;;2249.0;1.0;;107.0;;27.0;;;;;;;;;;375.0;1.0;;;;;;;;;46.0;;;;56550
MAU�;603.0;16207.0;6502.0;122179.0;;10971.0;1246.0;255.0;;;74.0;;2130.0;101.0;;12033.0;189631.0;575.0;627.0;;;55.0;2040.0;50.0;;852.0;;4.0;;;3.0;64.0;3.0;;;;;202.0;;3.0;;;;;;;;122.0;;;;366532
MENDON�A;4814.0;18.0;77.0;1215.0;;3.0;;;;;;;21.0;;;845.0;4585.0;679.0;;;;;144.0;;;1.0;;1.0;;;;;;;;;;22.0;;;;;;;;;;26.0;;;1005;13456
MERIDIANO;;9.0;;;;;;;;;;;;;;;278.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;293
MES�POLIS;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
MIGUEL�POLIS;91.0;33.0;;1184.0;;619.0;;;;;;;147.0;;;454.0;12032.0;;2.0;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;14569
MINEIROS DO TIET�;5163.0;;724.0;;;1.0;;;;;;;;;;880.0;8564.0;;;;;;160.0;;;;;;;;;;;;;;;49.0;;;;;;;;;;;;;;15541
MIRA ESTRELA;1691.0;22.0;1129.0;;;;;;;;;;12.0;;;;767.0;338.0;;;;;;22.0;;1.0;;4.0;;;;;;;;;;;12.0;;;;;;;;;;;;12;4010
MIRACATU;794.0;134.0;;12154.0;;718.0;173.0;;;;;;115.0;;;1109.0;22561.0;240.0;112.0;;;;;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;38136
MIRAND�POLIS;5630.0;2.0;139.0;439.0;;10.0;;;;;;;71.0;;;1656.0;32764.0;1184.0;;;;;561.0;;;12.0;;;;;;;;;;;;102.0;;;;;;;;;;43.0;;;;42613
MIRANTE DO PARANAPANEMA;3719.0;46.0;38.0;4623.0;;610.0;387.0;;;;;;1051.0;;;827.0;10968.0;559.0;;;;;89.0;;;43.0;;;1.0;;;;;;;;;1.0;;2.0;;;;;;;;24.0;;;826;23814
MIRASSOL;1888.0;262.0;1061.0;13027.0;;1918.0;274.0;;;;;;990.0;;;1515.0;44057.0;1105.0;1.0;;;;1918.0;;;236.0;;3.0;17.0;;;2.0;;;;;;307.0;;;;;;;;;;55.0;;;;68636
MIRASSOL�NDIA;1961.0;43.0;426.0;;;;;;;;;;;;;620.0;5280.0;;;;;;183.0;;;4.0;;;;;;;;;;;;71.0;;;;;;;;;;;;;;8588
MOCOCA;771.0;;18.0;27206.0;59.0;2381.0;395.0;146.0;;;;;759.0;;;144.0;56215.0;3590.0;40.0;;;;1549.0;1.0;;200.0;;1.0;2.0;;;;1.0;;;;;177.0;;;;;;;;;;71.0;;;;93726
MOGI DAS CRUZES;5084.0;467.0;7151.0;155814.0;2186.0;10082.0;4937.0;992.0;145.0;57.0;405.0;;9195.0;1173.0;;9362.0;188498.0;12747.0;1902.0;;;580.0;1422.0;250.0;;621.0;;85.0;78.0;;;;25.0;;;;;293.0;;1.0;;;;;;;;;;;;413552
MOGI GUA�U;2748.0;;2649.0;63202.0;1.0;2050.0;1447.0;245.0;;;83.0;;1573.0;43.0;;1526.0;70152.0;1105.0;135.0;592.0;;69.0;228.0;;;271.0;;13.0;176.0;4.0;;5.0;;;;;;179.0;1.0;73.0;;;;;;;;;;;;148570
MOGI MIRIM;10954.0;227.0;4629.0;25210.0;;3085.0;540.0;260.0;;;28.0;;1622.0;26.0;;2253.0;63917.0;3704.0;96.0;;2256.0;14.0;2640.0;1.0;;202.0;;32.0;3.0;14.0;2.0;3.0;;;;;;270.0;;14.0;14.0;;;;;;;;14.0;;;122030
MOMBUCA;5891.0;32.0;873.0;1.0;;78.0;;;;;;;29.0;;;94.0;3984.0;490.0;;;;;473.0;;;14.0;;3.0;;;;;;;;;;34.0;;;;;;;;;;45.0;;;;12041
MON��ES;107.0;17.0;;373.0;;;;;;;;;;;;;;204.0;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;711
MONGAGU�;15.0;120.0;1437.0;29641.0;177.0;3576.0;722.0;353.0;;;;;1092.0;10.0;;4282.0;49069.0;385.0;138.0;;;;187.0;;;42.0;;96.0;;;;;1.0;;;;;26.0;;;;;;;;;;;;;7995;99364
MONTE ALEGRE DO SUL;4294.0;642.0;233.0;5558.0;;21.0;77.0;;;;;;59.0;;;582.0;9274.0;330.0;;;;;335.0;;;60.0;;1.0;;;;;;;;;;27.0;;;;;;;;;;;;;;21493
MONTE ALTO;4701.0;429.0;148.0;18321.0;23.0;1533.0;521.0;183.0;32.0;;15.0;;616.0;;;30558.0;56711.0;1377.0;24.0;;;;2532.0;4.0;;590.0;;1.0;;;;;;;;;;471.0;3.0;;;;;;;;;63.0;;;;118856
MONTE APRAZ�VEL;;;526.0;;;;272.0;;;;;;;;;;1953.0;811.0;;;;;29.0;;;;;;;;;;;;;;;2.0;;;;;;;;;;25.0;;;;3618
MONTE AZUL PAULISTA;;2555.0;586.0;11116.0;;829.0;799.0;;;;;;890.0;;;212.0;22095.0;1973.0;12.0;;;;;;;31.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;41099
MONTE CASTELO;2340.0;9.0;1374.0;30.0;;;;;;;;;56.0;;;297.0;7320.0;145.0;;;;;107.0;;;3.0;;;;;;;;;;;;22.0;;;;;;;;;;;;;;11703
MONTE MOR;1079.0;113.0;970.0;22751.0;;1898.0;315.0;;;;4.0;;688.0;;9.0;1899.0;42652.0;660.0;323.0;;;4.0;1500.0;;;152.0;;;;;;;;;;;;484.0;;;;;;;;;;60.0;;;;75561
MONTEIRO LOBATO;238.0;9.0;;;;;;;;;;;;;;47.0;3008.0;;;;;;84.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;3391
MORRO AGUDO;11533.0;8230.0;1.0;11634.0;12.0;1155.0;535.0;18.0;33.0;;32.0;;778.0;;;46.0;25279.0;278.0;16.0;;;;1347.0;59.0;;54.0;;8.0;2.0;;;;24.0;;;;;370.0;;;;;;;;;;81.0;;;;61525
MORUNGABA;780.0;;65.0;332.0;;9.0;;;;;;;;;;403.0;16236.0;749.0;;;;;333.0;;;2.0;;;;;;;;;;;;57.0;;;;;;;;;;;;;;18966
MOTUCA;13.0;1073.0;158.0;;;;;;;;;;29.0;;;194.0;3730.0;156.0;;;;;83.0;;;4.0;;;;;;;;;;;;6.0;;;;;;;;;;20.0;;;;5466
MURUTINGA DO SUL;465.0;18.0;;2014.0;;;;;;;;;;;2.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1247;3770
NANTES;;10.0;;;;;;;;;;;;;;;;124.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134
NARANDIBA;;9.0;;2367.0;;;;;;;;;;;;;2049.0;413.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308;5146
NATIVIDADE DA SERRA;;8.0;;;;;;;;;;;;;;24.0;708.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;741
NAZAR� PAULISTA;;884.0;;726.0;;381.0;;;;;;;107.0;;;44.0;6129.0;;1.0;;;;;;;20.0;;1.0;;;;;;;;;;;;19.0;;;;;;;;;;;;8312
