municipio;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
;Aragarças;-15,8955;-52,2372;;52;9233;64;America/Sao_Paulo
;Aragoiânia;-16,9087;-49,4476;;52;9235;62;America/Sao_Paulo
;Aragominas;-7,16005;-48,5291;;17;167;63;America/Sao_Paulo
;Araguacema;-8,80755;-49,5569;;17;9237;63;America/Sao_Paulo
;Araguaçu;-12,9289;-49,8231;;17;9239;63;America/Sao_Paulo
;Araguaiana;-15,7291;-51,8341;;51;9869;66;America/Porto_Velho
;Araguaína;-7,19238;-48,2044;;17;9241;63;America/Sao_Paulo
;Araguainha;-16,857;-53,0318;;51;9023;66;America/Porto_Velho
;Araguanã;-6,58225;-48,6395;;17;169;63;America/Sao_Paulo
;Araguanã;-2,94644;-45,6589;;21;114;98;America/Sao_Paulo
;Araguapaz;-15,0909;-50,6315;;52;9669;62;America/Sao_Paulo
;Araguari;-18,6456;-48,1934;;31;4069;34;America/Sao_Paulo
;Araguatins;-5,64659;-48,1232;;17;9243;63;America/Sao_Paulo
;Araioses;-2,89091;-41,905;;21;717;98;America/Sao_Paulo
;Aral Moreira;-22,9385;-55,6334;;50;9171;67;America/Porto_Velho
;Aramari;-12,0884;-38,4969;;29;3343;75;America/Sao_Paulo
;Arambaré;-30,9092;-51,5046;;43;5779;51;America/Sao_Paulo
;Arame;-4,88347;-46,0032;;21;1281;99;America/Sao_Paulo
ARAMINA;Aramina;-20,0882;-47,7873;;35;6159;16;America/Sao_Paulo
ARANDU;Arandu;-23,1386;-49,0487;;35;6161;14;America/Sao_Paulo
;Arantina;-21,9102;-44,2555;;31;4071;32;America/Sao_Paulo
ARAPEI;Arapeí;-22,6717;-44,4441;;35;2991;12;America/Sao_Paulo
;Arapiraca;-9,75487;-36,6615;;27;2705;82;America/Sao_Paulo
;Arapoema;-7,65463;-49,0637;;17;9245;63;America/Sao_Paulo
;Araponga;-20,6686;-42,5178;;31;4073;31;America/Sao_Paulo
;Arapongas;-23,4153;-51,4259;;41;7427;43;America/Sao_Paulo
;Araporã;-18,4357;-49,1847;;31;2903;34;America/Sao_Paulo
;Arapoti;-24,1548;-49,8285;;41;7429;43;America/Sao_Paulo
;Arapuã;-24,3132;-51,7856;;41;830;43;America/Sao_Paulo
;Arapuá;-19,0268;-46,1484;;31;4075;34;America/Sao_Paulo
;Araputanga;-15,4641;-58,3425;;51;8989;65;America/Porto_Velho
;Araquari;-26,3754;-48,7188;;42;8025;47;America/Sao_Paulo
