instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Ubatuba - SP;UBATUBA;SP;92819;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;646781246.82
Prefeitura Municipal de Itapetininga - SP;ITAPETININGA;SP;167106;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;759251314.59
Prefeitura Municipal de Trï¿½s Fronteiras - SP;TRES FRONTEIRAS;SP;5856;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37651130.55
Prefeitura Municipal de Torrinha - SP;TORRINHA;SP;10100;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57442873.53
Prefeitura Municipal de Regente Feijï¿½ - SP;REGENTE FEIJO;SP;20523;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;122873773.66
Prefeitura Municipal de Nova Guataporanga - SP;NOVA GUATAPORANGA;SP;2333;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;26656521.19
Prefeitura Municipal de Cordeirï¿½polis - SP;CORDEIROPOLIS;SP;25116;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;262278746.25
Prefeitura Municipal de Nova Europa - SP;NOVA EUROPA;SP;11519;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;74543368.13
Prefeitura Municipal de Mairiporï¿½ - SP;MAIRIPORA;SP;103645;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;519617024.61
Prefeitura Municipal de Porangaba - SP;PORANGABA;SP;10205;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57947987.36
Prefeitura Municipal de Sorocaba - SP;SOROCABA;SP;695328;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;4433107532.63
Prefeitura Municipal de Tuiuti - SP;TUIUTI;SP;7058;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;34354829.41
